Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
2021,March,03/01/2021,15000000,"Natural Resources, Mining and Constructi",N,47200
2021,March,03/01/2021,90930000,Local Government,N,71300
2021,March,03/01/2021,90910000,Federal Government,N,8600
2021,March,03/01/2021,7000000,Service Providing,N,618900
2021,March,03/01/2021,55000000,Financial Activities,N,26500
2021,March,03/01/2021,11000000,Total Farm,N,800
2021,March,03/01/2021,40000000,"Trade, Transportation and Utilities",N,131100
2021,March,03/01/2021,90000000,Government,N,116500
2021,March,03/01/2021,70720000,Accommodation and Food Service,N,43900
2021,March,03/01/2021,31000000,Durable Goods,N,70500
2021,March,03/01/2021,55530000,Real Estate and Rental and Leasing,N,9500
2021,March,03/01/2021,60000000,Professional and Business Services,N,130400
2021,March,03/01/2021,60540000,"Professional, Scientific and Technical S",N,74900
2021,March,03/01/2021,65610000,Educational Services,N,13800
2021,March,03/01/2021,1000000,Total Wage and Salary,N,758200
2021,March,03/01/2021,90920000,State Government,N,36600
2021,March,03/01/2021,41000000,Wholesale Trade,N,33000
2021,March,03/01/2021,30000000,Manufacturing,N,91300
2021,March,03/01/2021,55520000,Finance and Insurance,N,17000
2021,March,03/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,34800
2021,March,03/01/2021,60550000,Management of Companies and Enterprises,N,16500
2021,March,03/01/2021,0,Total Nonfarm,N,757400
2021,April,04/01/2021,32000000,Nondurable Goods,N,21100
2021,April,04/01/2021,70000000,Leisure and Hospitality,N,53800
2021,April,04/01/2021,42000000,Retail Trade,N,62800
2021,April,04/01/2021,70710000,"Arts, Entertainment, and Recreation",N,7500
2021,April,04/01/2021,80000000,Other Services,N,23000
2021,April,04/01/2021,50000000,Information,N,19300
2021,April,04/01/2021,60560000,Administrative and Support and Waste Ser,N,39500
2021,April,04/01/2021,6000000,Goods Producing,N,138800
2021,April,04/01/2021,65000000,Educational and Health Services,N,125100
2021,April,04/01/2021,65620000,Health Care and Social Assistance,N,110600
2021,April,04/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48000
2021,April,04/01/2021,90930000,Local Government,N,71800
2021,April,04/01/2021,7000000,Service Providing,N,628200
2021,April,04/01/2021,90910000,Federal Government,N,8700
2021,April,04/01/2021,55000000,Financial Activities,N,26700
2021,April,04/01/2021,11000000,Total Farm,N,900
2021,April,04/01/2021,40000000,"Trade, Transportation and Utilities",N,130600
2021,April,04/01/2021,90000000,Government,N,117300
2021,April,04/01/2021,31000000,Durable Goods,N,69700
2021,April,04/01/2021,70720000,Accommodation and Food Service,N,46300
2021,April,04/01/2021,55530000,Real Estate and Rental and Leasing,N,9700
2021,April,04/01/2021,60000000,Professional and Business Services,N,132400
2021,April,04/01/2021,60540000,"Professional, Scientific and Technical S",N,76300
2021,April,04/01/2021,65610000,Educational Services,N,14500
2021,April,04/01/2021,1000000,Total Wage and Salary,N,767900
2021,April,04/01/2021,90920000,State Government,N,36800
2021,April,04/01/2021,41000000,Wholesale Trade,N,33200
2021,April,04/01/2021,30000000,Manufacturing,N,90800
2021,April,04/01/2021,55520000,Finance and Insurance,N,17000
2021,April,04/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,34600
2021,April,04/01/2021,60550000,Management of Companies and Enterprises,N,16600
2021,April,04/01/2021,0,Total Nonfarm,N,767000
2021,May,05/01/2021,70000000,Leisure and Hospitality,N,56700
2021,May,05/01/2021,32000000,Nondurable Goods,N,21000
2021,May,05/01/2021,42000000,Retail Trade,N,63200
2021,May,05/01/2021,80000000,Other Services,N,23400
2021,May,05/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8100
2021,May,05/01/2021,50000000,Information,N,19400
2021,May,05/01/2021,60560000,Administrative and Support and Waste Ser,N,40000
2021,May,05/01/2021,65620000,Health Care and Social Assistance,N,110600
2021,May,05/01/2021,65000000,Educational and Health Services,N,125200
2021,May,05/01/2021,6000000,Goods Producing,N,138900
2021,May,05/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48300
2021,May,05/01/2021,90930000,Local Government,N,72600
2021,May,05/01/2021,90910000,Federal Government,N,8600
2021,May,05/01/2021,7000000,Service Providing,N,633800
2021,May,05/01/2021,55000000,Financial Activities,N,26800
2021,May,05/01/2021,11000000,Total Farm,N,900
2021,May,05/01/2021,40000000,"Trade, Transportation and Utilities",N,131100
2021,May,05/01/2021,90000000,Government,N,118200
2021,May,05/01/2021,70720000,Accommodation and Food Service,N,48600
2021,May,05/01/2021,31000000,Durable Goods,N,69600
2021,May,05/01/2021,55530000,Real Estate and Rental and Leasing,N,9900
2021,May,05/01/2021,60000000,Professional and Business Services,N,133000
2021,May,05/01/2021,60540000,"Professional, Scientific and Technical S",N,76400
2021,May,05/01/2021,65610000,Educational Services,N,14600
2021,May,05/01/2021,1000000,Total Wage and Salary,N,773600
2021,May,05/01/2021,90920000,State Government,N,37000
2021,May,05/01/2021,41000000,Wholesale Trade,N,33300
2021,May,05/01/2021,30000000,Manufacturing,N,90600
2021,May,05/01/2021,55520000,Finance and Insurance,N,16900
2021,May,05/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,34600
2021,May,05/01/2021,60550000,Management of Companies and Enterprises,N,16600
2021,May,05/01/2021,0,Total Nonfarm,N,772700
2021,June,06/01/2021,32000000,Nondurable Goods,N,21200
2021,June,06/01/2021,70000000,Leisure and Hospitality,N,58400
2021,June,06/01/2021,42000000,Retail Trade,N,63600
2021,June,06/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8300
2021,June,06/01/2021,80000000,Other Services,N,23800
2021,June,06/01/2021,50000000,Information,N,19500
2021,June,06/01/2021,60560000,Administrative and Support and Waste Ser,N,39600
2021,June,06/01/2021,65000000,Educational and Health Services,N,124400
2021,June,06/01/2021,65620000,Health Care and Social Assistance,N,110200
2021,June,06/01/2021,6000000,Goods Producing,N,140300
2021,June,06/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48600
2021,June,06/01/2021,90930000,Local Government,N,72100
2021,June,06/01/2021,7000000,Service Providing,N,633100
2021,June,06/01/2021,90910000,Federal Government,N,8600
2021,June,06/01/2021,55000000,Financial Activities,N,26800
2021,June,06/01/2021,11000000,Total Farm,N,1000
2021,June,06/01/2021,40000000,"Trade, Transportation and Utilities",N,131800
2021,June,06/01/2021,90000000,Government,N,115600
2021,June,06/01/2021,31000000,Durable Goods,N,70500
2021,June,06/01/2021,70720000,Accommodation and Food Service,N,50100
2021,June,06/01/2021,55530000,Real Estate and Rental and Leasing,N,9800
2021,June,06/01/2021,60000000,Professional and Business Services,N,132800
2021,June,06/01/2021,60540000,"Professional, Scientific and Technical S",N,76500
2021,June,06/01/2021,65610000,Educational Services,N,14200
2021,June,06/01/2021,1000000,Total Wage and Salary,N,774400
2021,June,06/01/2021,41000000,Wholesale Trade,N,33400
2021,June,06/01/2021,90920000,State Government,N,34900
2021,June,06/01/2021,30000000,Manufacturing,N,91700
2021,June,06/01/2021,55520000,Finance and Insurance,N,17000
2021,June,06/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,34800
2021,June,06/01/2021,60550000,Management of Companies and Enterprises,N,16700
2021,June,06/01/2021,0,Total Nonfarm,N,773400
2021,July,07/01/2021,70000000,Leisure and Hospitality,N,61400
2021,July,07/01/2021,32000000,Nondurable Goods,N,21300
2021,July,07/01/2021,42000000,Retail Trade,N,64100
2021,July,07/01/2021,80000000,Other Services,N,24700
2021,July,07/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8900
2021,July,07/01/2021,50000000,Information,N,19200
2021,July,07/01/2021,60560000,Administrative and Support and Waste Ser,N,40000
2021,July,07/01/2021,6000000,Goods Producing,N,140700
2021,July,07/01/2021,65620000,Health Care and Social Assistance,N,110600
2021,July,07/01/2021,65000000,Educational and Health Services,N,124600
2021,July,07/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48800
2021,July,07/01/2021,90930000,Local Government,N,69400
2021,July,07/01/2021,90910000,Federal Government,N,8700
2021,July,07/01/2021,7000000,Service Providing,N,636500
2021,July,07/01/2021,55000000,Financial Activities,N,26900
2021,July,07/01/2021,11000000,Total Farm,N,1100
2021,July,07/01/2021,40000000,"Trade, Transportation and Utilities",N,132600
2021,July,07/01/2021,90000000,Government,N,112000
2021,July,07/01/2021,70720000,Accommodation and Food Service,N,52500
2021,July,07/01/2021,31000000,Durable Goods,N,70600
2021,July,07/01/2021,55530000,Real Estate and Rental and Leasing,N,10100
2021,July,07/01/2021,60000000,Professional and Business Services,N,135100
2021,July,07/01/2021,60540000,"Professional, Scientific and Technical S",N,78500
2021,July,07/01/2021,65610000,Educational Services,N,14000
2021,July,07/01/2021,1000000,Total Wage and Salary,N,778300
2021,July,07/01/2021,41000000,Wholesale Trade,N,33400
2021,July,07/01/2021,90920000,State Government,N,33900
2021,July,07/01/2021,30000000,Manufacturing,N,91900
2021,July,07/01/2021,55520000,Finance and Insurance,N,16800
2021,July,07/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,35100
2021,July,07/01/2021,60550000,Management of Companies and Enterprises,N,16600
2021,July,07/01/2021,0,Total Nonfarm,N,777200
2021,August,08/01/2021,32000000,Nondurable Goods,N,21300
2021,August,08/01/2021,70000000,Leisure and Hospitality,N,61700
2021,August,08/01/2021,42000000,Retail Trade,N,63700
2021,August,08/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8600
2021,August,08/01/2021,80000000,Other Services,N,24500
2021,August,08/01/2021,50000000,Information,N,19100
2021,August,08/01/2021,60560000,Administrative and Support and Waste Ser,N,40300
2021,August,08/01/2021,65000000,Educational and Health Services,N,124500
2021,August,08/01/2021,65620000,Health Care and Social Assistance,N,110600
2021,August,08/01/2021,6000000,Goods Producing,N,140700
2021,August,08/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48700
2021,August,08/01/2021,90930000,Local Government,N,69500
2021,August,08/01/2021,7000000,Service Providing,N,636300
2021,August,08/01/2021,90910000,Federal Government,N,8600
2021,August,08/01/2021,55000000,Financial Activities,N,26900
2021,August,08/01/2021,11000000,Total Farm,N,900
2021,August,08/01/2021,40000000,"Trade, Transportation and Utilities",N,132700
2021,August,08/01/2021,90000000,Government,N,111600
2021,August,08/01/2021,31000000,Durable Goods,N,70700
2021,August,08/01/2021,70720000,Accommodation and Food Service,N,53100
2021,August,08/01/2021,55530000,Real Estate and Rental and Leasing,N,10200
2021,August,08/01/2021,60000000,Professional and Business Services,N,135300
2021,August,08/01/2021,60540000,"Professional, Scientific and Technical S",N,78500
2021,August,08/01/2021,65610000,Educational Services,N,13900
2021,August,08/01/2021,1000000,Total Wage and Salary,N,777900
2021,August,08/01/2021,41000000,Wholesale Trade,N,33500
2021,August,08/01/2021,90920000,State Government,N,33500
2021,August,08/01/2021,30000000,Manufacturing,N,92000
2021,August,08/01/2021,55520000,Finance and Insurance,N,16700
2021,August,08/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,35500
2021,August,08/01/2021,60550000,Management of Companies and Enterprises,N,16500
2021,August,08/01/2021,0,Total Nonfarm,N,777000
2021,September,09/01/2021,70000000,Leisure and Hospitality,N,60600
2021,September,09/01/2021,32000000,Nondurable Goods,N,21100
2021,September,09/01/2021,42000000,Retail Trade,N,63100
2021,September,09/01/2021,80000000,Other Services,N,24100
2021,September,09/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8100
2021,September,09/01/2021,50000000,Information,N,19000
2021,September,09/01/2021,60560000,Administrative and Support and Waste Ser,N,40200
2021,September,09/01/2021,65620000,Health Care and Social Assistance,N,110100
2021,September,09/01/2021,65000000,Educational and Health Services,N,124400
2021,September,09/01/2021,6000000,Goods Producing,N,140300
2021,September,09/01/2021,15000000,"Natural Resources, Mining and Constructi",N,47900
2021,September,09/01/2021,90930000,Local Government,N,72400
2021,September,09/01/2021,90910000,Federal Government,N,8500
2021,September,09/01/2021,7000000,Service Providing,N,638600
2021,September,09/01/2021,55000000,Financial Activities,N,26400
2021,September,09/01/2021,11000000,Total Farm,N,1100
2021,September,09/01/2021,40000000,"Trade, Transportation and Utilities",N,131400
2021,September,09/01/2021,90000000,Government,N,118300
2021,September,09/01/2021,70720000,Accommodation and Food Service,N,52500
2021,September,09/01/2021,31000000,Durable Goods,N,71300
2021,September,09/01/2021,55530000,Real Estate and Rental and Leasing,N,10000
2021,September,09/01/2021,60000000,Professional and Business Services,N,134400
2021,September,09/01/2021,60540000,"Professional, Scientific and Technical S",N,77600
2021,September,09/01/2021,1000000,Total Wage and Salary,N,780000
2021,September,09/01/2021,65610000,Educational Services,N,14300
2021,September,09/01/2021,41000000,Wholesale Trade,N,33000
2021,September,09/01/2021,90920000,State Government,N,37400
2021,September,09/01/2021,30000000,Manufacturing,N,92400
2021,September,09/01/2021,55520000,Finance and Insurance,N,16400
2021,September,09/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,35300
2021,September,09/01/2021,60550000,Management of Companies and Enterprises,N,16600
2021,September,09/01/2021,0,Total Nonfarm,N,778900
2021,October,10/01/2021,32000000,Nondurable Goods,N,21200
2021,October,10/01/2021,70000000,Leisure and Hospitality,N,61400
2021,October,10/01/2021,42000000,Retail Trade,N,65100
2021,October,10/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8100
2021,October,10/01/2021,80000000,Other Services,N,24200
2021,October,10/01/2021,50000000,Information,N,19000
2021,October,10/01/2021,60560000,Administrative and Support and Waste Ser,N,41200
2021,October,10/01/2021,6000000,Goods Producing,N,139800
2021,October,10/01/2021,65000000,Educational and Health Services,N,126500
2021,October,10/01/2021,65620000,Health Care and Social Assistance,N,111500
2021,October,10/01/2021,15000000,"Natural Resources, Mining and Constructi",N,48000
2021,October,10/01/2021,55000000,Financial Activities,N,26500
2021,October,10/01/2021,90930000,Local Government,N,73400
2021,October,10/01/2021,7000000,Service Providing,N,646300
2021,October,10/01/2021,90910000,Federal Government,N,8600
2021,October,10/01/2021,11000000,Total Farm,N,900
2021,October,10/01/2021,40000000,"Trade, Transportation and Utilities",N,134200
2021,October,10/01/2021,90000000,Government,N,119100
2021,October,10/01/2021,31000000,Durable Goods,N,70600
2021,October,10/01/2021,70720000,Accommodation and Food Service,N,53300
2021,October,10/01/2021,55530000,Real Estate and Rental and Leasing,N,10200
2021,October,10/01/2021,60000000,Professional and Business Services,N,135400
2021,October,10/01/2021,60540000,"Professional, Scientific and Technical S",N,77500
2021,October,10/01/2021,1000000,Total Wage and Salary,N,787000
2021,October,10/01/2021,65610000,Educational Services,N,15000
2021,October,10/01/2021,41000000,Wholesale Trade,N,33300
2021,October,10/01/2021,90920000,State Government,N,37100
2021,October,10/01/2021,30000000,Manufacturing,N,91800
2021,October,10/01/2021,55520000,Finance and Insurance,N,16300
2021,October,10/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,35800
2021,October,10/01/2021,60550000,Management of Companies and Enterprises,N,16700
2021,October,10/01/2021,0,Total Nonfarm,N,786100
2021,November,11/01/2021,70000000,Leisure and Hospitality,N,60900
2021,November,11/01/2021,32000000,Nondurable Goods,N,21300
2021,November,11/01/2021,42000000,Retail Trade,N,67100
2021,November,11/01/2021,80000000,Other Services,N,24300
2021,November,11/01/2021,70710000,"Arts, Entertainment, and Recreation",N,8000
2021,November,11/01/2021,50000000,Information,N,19000
2021,November,11/01/2021,60560000,Administrative and Support and Waste Ser,N,39900
2021,November,11/01/2021,6000000,Goods Producing,N,139000
2021,November,11/01/2021,65620000,Health Care and Social Assistance,N,113100
2021,November,11/01/2021,65000000,Educational and Health Services,N,128300
2021,November,11/01/2021,15000000,"Natural Resources, Mining and Constructi",N,46800
2021,November,11/01/2021,55000000,Financial Activities,N,26700
2021,November,11/01/2021,90930000,Local Government,N,73800
2021,November,11/01/2021,90910000,Federal Government,N,8500
2021,November,11/01/2021,7000000,Service Providing,N,654100
2021,November,11/01/2021,11000000,Total Farm,N,900
2021,November,11/01/2021,40000000,"Trade, Transportation and Utilities",N,138100
2021,November,11/01/2021,90000000,Government,N,120500
2021,November,11/01/2021,70720000,Accommodation and Food Service,N,52900
2021,November,11/01/2021,31000000,Durable Goods,N,70900
2021,November,11/01/2021,55530000,Real Estate and Rental and Leasing,N,10300
2021,November,11/01/2021,60000000,Professional and Business Services,N,136300
2021,November,11/01/2021,60540000,"Professional, Scientific and Technical S",N,79600
2021,November,11/01/2021,1000000,Total Wage and Salary,N,794000
2021,November,11/01/2021,65610000,Educational Services,N,15200
2021,November,11/01/2021,41000000,Wholesale Trade,N,33600
2021,November,11/01/2021,90920000,State Government,N,38200
2021,November,11/01/2021,30000000,Manufacturing,N,92200
2021,November,11/01/2021,55520000,Finance and Insurance,N,16400
2021,November,11/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,37400
2021,November,11/01/2021,60550000,Management of Companies and Enterprises,N,16800
2021,November,11/01/2021,0,Total Nonfarm,N,793100
2021,December,12/01/2021,32000000,Nondurable Goods,N,21300
2021,December,12/01/2021,70000000,Leisure and Hospitality,N,61900
2021,December,12/01/2021,42000000,Retail Trade,N,67600
2021,December,12/01/2021,70710000,"Arts, Entertainment, and Recreation",N,7800
2021,December,12/01/2021,80000000,Other Services,N,24500
2021,December,12/01/2021,50000000,Information,N,19000
2021,December,12/01/2021,60560000,Administrative and Support and Waste Ser,N,40800
2021,December,12/01/2021,65000000,Educational and Health Services,N,129200
2021,December,12/01/2021,65620000,Health Care and Social Assistance,N,114200
2021,December,12/01/2021,6000000,Goods Producing,N,138400
2021,December,12/01/2021,15000000,"Natural Resources, Mining and Constructi",N,45400
2021,December,12/01/2021,55000000,Financial Activities,N,27000
2021,December,12/01/2021,90930000,Local Government,N,72300
2021,December,12/01/2021,7000000,Service Providing,N,659600
2021,December,12/01/2021,90910000,Federal Government,N,8600
2021,December,12/01/2021,11000000,Total Farm,N,800
2021,December,12/01/2021,40000000,"Trade, Transportation and Utilities",N,141200
2021,December,12/01/2021,90000000,Government,N,119500
2021,December,12/01/2021,31000000,Durable Goods,N,71700
2021,December,12/01/2021,70720000,Accommodation and Food Service,N,54100
2021,December,12/01/2021,55530000,Real Estate and Rental and Leasing,N,10600
2021,December,12/01/2021,60000000,Professional and Business Services,N,137300
2021,December,12/01/2021,60540000,"Professional, Scientific and Technical S",N,79600
2021,December,12/01/2021,1000000,Total Wage and Salary,N,798800
2021,December,12/01/2021,65610000,Educational Services,N,15000
2021,December,12/01/2021,30000000,Manufacturing,N,93000
2021,December,12/01/2021,41000000,Wholesale Trade,N,34100
2021,December,12/01/2021,90920000,State Government,N,38600
2021,December,12/01/2021,55520000,Finance and Insurance,N,16400
2021,December,12/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,39500
2021,December,12/01/2021,60550000,Management of Companies and Enterprises,N,16900
2021,December,12/01/2021,0,Total Nonfarm,N,798000
2020,July,07/01/2020,90000000,Government,N,111800
2020,January,01/01/2020,32000000,Nondurable Goods,N,23400
2020,January,01/01/2020,70710000,"Arts, Entertainment, and Recreation",N,12300
2020,January,01/01/2020,80000000,Other Services,N,27400
2020,January,01/01/2020,42000000,Retail Trade,N,69400
2020,January,01/01/2020,50000000,Information,N,20900
2020,January,01/01/2020,60560000,Administrative and Support and Waste Ser,N,42100
2020,January,01/01/2020,65000000,Educational and Health Services,N,127300
2020,January,01/01/2020,65620000,Health Care and Social Assistance,N,111300
2020,January,01/01/2020,70000000,Leisure and Hospitality,N,76000
2020,January,01/01/2020,6000000,Goods Producing,N,134300
2020,January,01/01/2020,7000000,Service Providing,N,677500
2020,January,01/01/2020,90910000,Federal Government,N,8700
2020,January,01/01/2020,90930000,Local Government,N,77300
2020,January,01/01/2020,55000000,Financial Activities,N,28500
2020,January,01/01/2020,11000000,Total Farm,N,700
2020,January,01/01/2020,15000000,"Natural Resources, Mining and Constructi",N,49200
2020,January,01/01/2020,31000000,Durable Goods,N,61700
2020,January,01/01/2020,70720000,Accommodation and Food Service,N,63700
2020,January,01/01/2020,90000000,Government,N,124700
2020,January,01/01/2020,40000000,"Trade, Transportation and Utilities",N,138400
2020,January,01/01/2020,55530000,Real Estate and Rental and Leasing,N,10800
2020,January,01/01/2020,60000000,Professional and Business Services,N,134300
2020,January,01/01/2020,60540000,"Professional, Scientific and Technical S",N,75400
2020,January,01/01/2020,65610000,Educational Services,N,16000
2020,January,01/01/2020,1000000,Total Wage and Salary,N,812500
2020,January,01/01/2020,30000000,Manufacturing,N,85100
2020,January,01/01/2020,41000000,Wholesale Trade,N,35700
2020,January,01/01/2020,90920000,State Government,N,38700
2020,January,01/01/2020,43000000,"Transportation, Warehousing and Utilitie",N,33300
2020,January,01/01/2020,55520000,Finance and Insurance,N,17700
2020,January,01/01/2020,60550000,Management of Companies and Enterprises,N,16800
2020,January,01/01/2020,0,Total Nonfarm,N,811800
2020,February,02/01/2020,6000000,Goods Producing,N,135700
2020,February,02/01/2020,65000000,Educational and Health Services,N,128600
2020,February,02/01/2020,70000000,Leisure and Hospitality,N,77600
2020,February,02/01/2020,65620000,Health Care and Social Assistance,N,111700
2020,February,02/01/2020,50000000,Information,N,20900
2020,February,02/01/2020,60560000,Administrative and Support and Waste Ser,N,42700
2020,February,02/01/2020,32000000,Nondurable Goods,N,23600
2020,February,02/01/2020,80000000,Other Services,N,27700
2020,February,02/01/2020,70710000,"Arts, Entertainment, and Recreation",N,12500
2020,February,02/01/2020,42000000,Retail Trade,N,68800
2020,February,02/01/2020,11000000,Total Farm,N,700
2020,February,02/01/2020,55000000,Financial Activities,N,28600
2020,February,02/01/2020,15000000,"Natural Resources, Mining and Constructi",N,49900
2020,February,02/01/2020,90930000,Local Government,N,78100
2020,February,02/01/2020,90910000,Federal Government,N,8700
2020,February,02/01/2020,7000000,Service Providing,N,681500
2020,February,02/01/2020,1000000,Total Wage and Salary,N,817900
2020,February,02/01/2020,60540000,"Professional, Scientific and Technical S",N,76300
2020,February,02/01/2020,60000000,Professional and Business Services,N,135500
2020,February,02/01/2020,70720000,Accommodation and Food Service,N,65100
2020,February,02/01/2020,31000000,Durable Goods,N,62200
2020,February,02/01/2020,40000000,"Trade, Transportation and Utilities",N,137400
2020,February,02/01/2020,90000000,Government,N,125200
2020,February,02/01/2020,55530000,Real Estate and Rental and Leasing,N,11000
2020,February,02/01/2020,65610000,Educational Services,N,16900
2020,February,02/01/2020,60550000,Management of Companies and Enterprises,N,16500
2020,February,02/01/2020,55520000,Finance and Insurance,N,17600
2020,February,02/01/2020,43000000,"Transportation, Warehousing and Utilitie",N,32900
2020,February,02/01/2020,90920000,State Government,N,38400
2020,February,02/01/2020,41000000,Wholesale Trade,N,35700
2020,February,02/01/2020,30000000,Manufacturing,N,85800
2020,February,02/01/2020,0,Total Nonfarm,N,817200
2020,March,03/01/2020,6000000,Goods Producing,N,135900
2020,March,03/01/2020,65000000,Educational and Health Services,N,128300
2020,March,03/01/2020,65620000,Health Care and Social Assistance,N,111600
2020,March,03/01/2020,70000000,Leisure and Hospitality,N,74600
2020,March,03/01/2020,50000000,Information,N,20900
2020,March,03/01/2020,60560000,Administrative and Support and Waste Ser,N,42500
2020,March,03/01/2020,32000000,Nondurable Goods,N,23400
2020,March,03/01/2020,70710000,"Arts, Entertainment, and Recreation",N,12200
2020,March,03/01/2020,80000000,Other Services,N,27200
2020,March,03/01/2020,42000000,Retail Trade,N,68100
